"","Group.1","score","facility_a","facility_c","facility_i","facility_n","pe_descrip","coords.x1","coords.x2"
"1","FA0047730",95.6666666666667,"2999 W 6TH ST BM","LOS ANGELES","FA0047730","SHRINE","RESTAURANT (61-150) SEATS HIGH RISK",-118.286712,34.0637
"2","FA0241951",91.2857142857143,"11270 LA GRANGE AVE","LOS ANGELES","FA0241951","ANZU","RESTAURANT (0-30) SEATS HIGH RISK",-118.443282,34.041222
"3","FA0262425",95.2,"369 E 2ND ST","LOS ANGELES","FA0262425","BAE","RESTAURANT (0-30) SEATS MODERATE RISK",-118.239993,34.048156
"4","FA0250553",93.4285714285714,"3131 N GAREY","POMONA","FA0250553","ICUSINE","RESTAURANT (31-60) SEATS HIGH RISK",-117.748657,34.104317
"5","FA0177224",90.4444444444444,"403 W 12TH ST","LOS ANGELES","FA0177224","BARCITO","RESTAURANT (61-150) SEATS HIGH RISK",-118.263657,34.040362
"6","FA0071140",97.8,"9673 WILSHIRE BLVD","BEVERLY HILLS","FA0071140","SUBWAY","RESTAURANT (0-30) SEATS MODERATE RISK",-118.40494,34.067065
"7","FA0251577",95.4,"8636 IMPERIAL HWY","DOWNEY","FA0251577","DONAS","RESTAURANT (0-30) SEATS MODERATE RISK",-118.141243,33.918352
"8","FA0074209",93.125,"904 W ALAMEDA AVE","BURBANK","FA0074209","YAKI'S","RESTAURANT (0-30) SEATS HIGH RISK",-118.312517,34.163442
"9","FA0020196",91.1666666666667,"14314 E TELEGRAPH RD","WHITTIER","FA0020196","KK DONUT","RESTAURANT (0-30) SEATS MODERATE RISK",-118.026502,33.926352
"10","FA0039929",98.7142857142857,"18761 SHERMAN WAY","RESEDA","FA0039929","MCDONALD'S # 38","RESTAURANT (61-150) SEATS MODERATE RISK",-118.542176,34.201168
"11","FA0243774",90.875,"7255 RESEDA BLVD","RESEDA","FA0243774","PHO 999","RESTAURANT (61-150) SEATS HIGH RISK",-118.536059,34.202735
"12","FA0010184",93,"2550 E AMAR RD STE #A7","WEST COVINA","FA0010184","COZY THAI","RESTAURANT (0-30) SEATS HIGH RISK",-117.896446,34.027351
"13","FA0035215",94.125,"11138 VENTURA BLVD","STUDIO CITY","FA0035215","LAL MIRCH","RESTAURANT (61-150) SEATS HIGH RISK",-118.373322,34.14165
"14","FA0259340",93.8333333333333,"2221 W REDONDO BEACH BLVD","GARDENA","FA0259340","WING FERNO","RESTAURANT (31-60) SEATS HIGH RISK",-118.318611,33.88545
